asset,ticker,market,category,amount_cny,notes
VOO,VOO,US,us_equity,130000,标普500ETF
NVIDIA,NVDA,US,us_equity,67000,英伟达
Google,GOOGL,US,us_equity,20000,谷歌
TLT,TLT,US,bonds,56000,美国长期国债ETF
IBKR,IBKR,US,us_equity,40000,盈透证券
XLF,XLF,US,us_equity,40000,美国金融ETF
Alibaba,BABA,US,hk_cn_equity,28000,阿里巴巴ADR
Hang Seng Tech ETF,3033.HK,HK,hk_cn_equity,135000,南方恒生科技ETF
Hang Seng Healthcare ETF,,HK,hk_cn_equity,95000,恒生医疗ETF
Hong Kong Securities ETF,,HK,hk_cn_equity,30000,香港证券ETF
CSI 300 ETF,510300.SS,CN,china_equity,206000,沪深300ETF
Giant Network,002558.SZ,CN,china_equity,40000,巨人网络
China Bonds,,CN,bonds,1130000,中国债券组合
Gold,,GLOBAL,gold,560000,黄金
Cash,,CASH,cash,230000,现金
